,RMSE,MSE,MAE,R²
Paper 1 XGBoost,24365.083982579392,593657317.4781469,14926.665199593323,0.9226033806851803
Paper 2 XGBoost,26899.52624650096,723584512.2861938,16191.000066887842,0.9056644407628723
Neural Network,27936.958181424143,780473632.4306413,16453.650541589646,0.8982476610056904
Paper 2 RF,28819.15975351951,830543968.8988788,17506.19189041096,0.8917198634758642
Linear Regression,29536.14867273496,872384078.417903,18349.901642659595,0.8862650616344745
KNN Regressor,36009.76254808709,1296702998.7696157,20560.28628909452,0.8309455212537636
